2300.1006905493, 2299.7347056496, 2299.7726977696, 2299.5965415639, 2299.3161757409, 2299.1795995183, 2299.0132999871, 2299.1264789434, 2299.1298321386, 2299.0576024989, 2299.1174297296, 2299.1826443185, 2299.1606286334, 2299.5595330498, 2300.2019865433
2300.0557991685, 2299.6517881647, 2299.5198260261, 2299.4455265643, 2299.2834006436, 2299.1480074709, 2299.2238809944, 2299.0966851606, 2299.0858139799, 2298.9676367687, 2298.9470881527, 2298.9913186126, 2299.1446266022, 2299.1707827803, 2299.1368898331
2299.7855150113, 2299.6879915363, 2299.5194631944, 2299.4266567999, 2299.2617456876, 2299.1873114524, 2299.1114299173, 2299.0356821916, 2298.9962849264, 2299.0518657231, 2299.1526282437, 2299.1831726936, 2299.131743086, 2299.4078357494, 2299.4294343627
2300.0702605163, 2299.7595430944, 2299.470466923, 2299.2408240688, 2299.0356415371, 2298.9636830344, 2298.9637117536, 2298.9015883871, 2298.8686432281, 2298.863447069, 2298.9644968031, 2299.050923707, 2299.2313640016, 2299.3608487412, 2299.2342672283
2300.1246209935, 2299.7771212782, 2299.4155335245, 2299.1167428347, 2299.0386591379, 2299.1433496881, 2299.1034164746, 2298.941072673, 2298.8432546497, 2298.8068361581, 2299.1389942057, 2299.3509816872, 2299.5178669377, 2299.7683252323, 2300.1095357629
2300.0821737661, 2299.9391383863, 2299.6168616161, 2299.3980735981, 2299.2496029519, 2299.244097745, 2299.2315971627, 2299.2225441766, 2299.1033221693, 2299.1582013965, 2299.2723920739, 2299.5237105292, 2299.7520727366, 2299.8205073695, 2300.0178040791
2300.3484052697, 2299.9373478472, 2299.7701447386, 2299.6500842205, 2299.3802399093, 2299.254829993, 2299.2992044742, 2299.389512766, 2299.2832439383, 2299.4073303602, 2299.4192772173, 2299.6278442038, 2299.5775431318, 2299.6666197422, 2299.6351488236
2300.4789456536, 2300.0620329867, 2299.9647730873, 2299.8669113197, 2299.6022078578, 2299.4051801632, 2299.2353679695, 2299.1290907176, 2299.0157048768, 2298.9516411678, 2298.9489989948, 2299.0669575033, 2299.0545713821, 2299.1525940103, 2299.3712433115
2300.3293312836, 2300.0444864502, 2299.7637086603, 2299.4540691899, 2299.1486280024, 2298.9231715671, 2298.7171295122, 2298.7627298511, 2298.827777769, 2298.880195665, 2298.9319923899, 2299.1290746913, 2299.2733414055, 2299.4150510732, 2299.6359473012
2299.7692485458, 2299.573528752, 2299.3164619018, 2299.1452089531, 2298.9681742834, 2298.9027615417, 2298.9362490043, 2299.1388662137, 2299.3392564929, 2299.5138470602, 2299.7561110025, 2300.1977713756, 2300.209377999, 2301.5144986504, 2301.6806869323
2299.9516194934, 2299.9657870488, 2299.904629585, 2299.980969368, 2300.1575114483, 2300.2374787411, 2300.5419157089, 2301.3258434478, 2301.7253267805, 2301.8610478186, 2302.6716430676, 2303.7118114473, 2304.4176187204, 2304.6630905562, 2304.1378298705
2303.0437403238, 2302.7534959051, 2302.3204337676, 2302.3402131425, 2302.6249561517, 2302.7450032694, 2302.8968561809, 2303.1262354671, 2303.5603645003, 2304.1815139769, 2305.3670357589, 2306.2792723718, 2306.7133289772, 2306.5942633231, 2304.908037182
2305.3014492282, 2304.5457011598, 2303.9505822164, 2304.0957090695, 2304.531041247, 2304.7165468054, 2305.0575837345, 2305.388782728, 2306.4237635855, 2306.6390127381, 2306.6163368417, 2306.8897774934, 2307.0305567843, 2305.982512534, 2305.8525106438
2305.7133126595, 2305.1642230695, 2304.9000051856, 2305.6814362238, 2306.4532831009, 2306.1299561254, 2306.3569096284, 2307.0522638316, 2306.7842495183, 2306.8608422377, 2307.1989458101, 2306.4143470369, 2305.7947684989, 2305.8571589907, 2306.4703547546
2306.9471993787, 2305.824886452, 2306.0199945199, 2306.8888668118, 2306.5865510962, 2307.0523030053, 2306.6551654787, 2306.050197936, 2305.9178804117, 2306.124662596, 2306.1572866392, 2306.0209960079, 2305.983033012, 2306.1582895632, 2306.1446855447
2307.2262481669, 2306.9311018259, 2307.663138351, 2307.5719311754, 2307.6028337821, 2307.159148663, 2306.0823396863, 2305.7476202419, 2305.9176213275, 2306.477989339, 2307.4745141848, 2307.4969818097, 2306.4990717177, 2305.8482987341, 2307.3288667605
2309.0453729717, 2307.9380507393, 2308.5987621728, 2308.7665903964, 2307.4169528812, 2306.6177825605, 2305.4940144514, 2305.0059801608, 2304.8173480066, 2305.166448339, 2305.5608571197, 2305.6920779644, 2306.080943387, 2305.5291274211, 2305.487303679
2306.8981133982, 2305.9339960824, 2306.7358066155, 2306.9174067932, 2306.5177971074, 2305.5651257162, 2304.9014517031, 2304.9783910548, 2305.0395733581, 2304.9503573513, 2305.1240165807, 2305.4302423335, 2305.0159362494, 2306.321329962, 2300.0846981757
