Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, a0, a1, --- Created at Fri Jun  5 12:07:34 2020 ---
FN7114Profile#2-31-01-20200001.CSV, 0001, Spec0001_CO2_linear, Linear, -9.3163649393054, 0.0043060591914775, 
FN7114Profile#2-31-01-20200002.CSV, 0002, Spec0002_CO2_linear, Linear, -9.390719256813, 0.00433629914357, 
FN7114Profile#2-31-01-20200003.CSV, 0003, Spec0003_CO2_linear, Linear, -9.4543976176825, 0.0043635933903782, 
FN7114Profile#2-31-01-20200004.CSV, 0004, Spec0004_CO2_linear, Linear, -9.4556082774018, 0.004364780785627, 
FN7114Profile#2-31-01-20200005.CSV, 0005, Spec0005_CO2_linear, Linear, -9.4117132574792, 0.0043443560631698, 
FN7114Profile#2-31-01-20200006.CSV, 0006, Spec0006_CO2_linear, Linear, -9.3664714133261, 0.0043210185192093, 
FN7114Profile#2-31-01-20200007.CSV, 0007, Spec0007_CO2_linear, Linear, -9.3507972617143, 0.0043096811460717, 
FN7114Profile#2-31-01-20200008.CSV, 0008, Spec0008_CO2_linear, Linear, -9.3793394623363, 0.0043231010484001, 
FN7114Profile#2-31-01-20200009.CSV, 0009, Spec0009_CO2_linear, Linear, -9.4624343062028, 0.0043629317399894, 
FN7114Profile#2-31-01-20200010.CSV, 0010, Spec0010_CO2_linear, Linear, -9.5910305821992, 0.0044263536775148, 
FN7114Profile#2-31-01-20200011.CSV, 0011, Spec0011_CO2_linear, Linear, -9.7821158571336, 0.0045183236369486, 
FN7114Profile#2-31-01-20200012.CSV, 0012, Spec0012_CO2_linear, Linear, -9.9782887270182, 0.0046131476391084, 
FN7114Profile#2-31-01-20200013.CSV, 0013, Spec0013_CO2_linear, Linear, -10.157564071652, 0.0046970166084402, 
FN7114Profile#2-31-01-20200014.CSV, 0014, Spec0014_CO2_linear, Linear, -10.273722205164, 0.0047483089767617, 
FN7114Profile#2-31-01-20200015.CSV, 0015, Spec0015_CO2_linear, Linear, -10.388642676919, 0.0047956478509376, 
FN7114Profile#2-31-01-20200016.CSV, 0016, Spec0016_CO2_linear, Linear, -10.431510230391, 0.0048135196232297, 
FN7114Profile#2-31-01-20200017.CSV, 0017, Spec0017_CO2_linear, Linear, -10.473223725717, 0.0048307397939815, 
FN7114Profile#2-31-01-20200018.CSV, 0018, Spec0018_CO2_linear, Linear, -10.44955233957, 0.0048181659675838, 
FN7114Profile#2-31-01-20200019.CSV, 0019, Spec0019_CO2_linear, Linear, -10.374874138619, 0.0047851571437867, 
FN7114Profile#2-31-01-20200020.CSV, 0020, Spec0020_CO2_linear, Linear, -10.286485569593, 0.0047416657626116, 
FN7114Profile#2-31-01-20200021.CSV, 0021, Spec0021_CO2_linear, Linear, -10.217448171107, 0.004707448849983, 
